(' О перечне добровольных стандартов по ТР о безопасности зданий и сооружений ', ' Минстрой', 'https://rapts.ru/talk_inter#stand_TS')
(' О знаке соответствия по ПП 982 ', ' Минпромторг', 'https://rapts.ru/talk_inter#pp_982')
('Мнение Минстроя о проведении входного контроля строительных материалов ', ' Минстрой', 'https://rapts.ru/talk_inter#vhod_kontrol')
(' Информационное письмо от Казаньоргсинтез об отсутствии минеральных наполнителей в сырье ', ' Казаньоргсинтез', 'https://rapts.ru/talk_inter#inf_kazan')
(' Мнение Департамента контрольно-надзорной и разрешительной деятельности минэкономразвития России об аккредитации органов по сертификации ', ' Минэкономразвития', 'https://rapts.ru/talk_inter#minekonom_akk')
(' Разъяснение по выбору метода испытания для определения массововй доли технического углерода (сажи) для труб напорных из ПЭ по ГОСТ 18599-2001. Пояснительная записка ', ' АНД Газтрубпласт', 'https://rapts.ru/talk_inter#poyasnit_zayavka')
(' Разъяснения о минеральных наполнителях в трубной продукции ', ' НИИ Полипластик', 'https://rapts.ru/talk_inter#nii_pp')
(' Ответ на запрос в Федеральное агентство по техническому регулированию и метрологии по вопросу аккредитации органов по сертификации ', ' Росстандарт', 'https://rapts.ru/talk_inter#rosstandart')
(' Готовое решение. В каком порядке проводится входной контроль строительной продукции ', ' КонсультантПлюс ', 'https://rapts.ru/talk_inter#consultant')
('О проведении испытаний (БРТ) ', ' ТК 241', 'https://rapts.ru/talk_inter#TK_242')
(' Об аккредитации органов СМК ', ' ТК 079', 'https://rapts.ru/talk_inter#TK_079')
